problem,solver,iterations,solve_time_ms,final_cost,eq_violation_inf,ineq_violation_inf,success,kkt_init_violation_inf,kkt_dyn_violation_inf,kkt_eq_violation_inf,kkt_ineq_violation_inf,kkt_dual_violation_inf,kkt_complementarity_inf,kkt_stationarity_inf,kkt_residual_inf,notes
cartpole,lipa-gpu,84,133.5714909946546,66.80261969456141,8.881784197001252e-16,0.0,1,3.64467159363869e-22,8.881784197001252e-16,6.897148777971539e-21,0.0,0.0,1.0057449313527307e-13,5.814252135305509e-09,5.814252135305509e-09,
acrobot,lipa-gpu,108,135.93897805549204,44.51328514225666,9.227196784422631e-11,0.0,1,2.27721754206203e-11,9.227196784422631e-11,0.0,0.0,0.0,0.0,3.869056991456787e-09,3.869056991456787e-09,
quadpendulum,lipa-gpu,81,170.5386299872771,8.279485190095361,1.3294618916859235e-07,0.0,1,9.418159363505652e-09,1.3294618916859235e-07,1.35657106053626e-09,0.0,0.0,1.2424512675714186e-07,4.059548093979584e-05,4.059548093979584e-05,
quadpendulum_theta,lipa-gpu,143,351.3267970411107,7.2689746820378955,6.8949042031363206e-09,0.0,1,1.7644508076841703e-10,6.8949042031363206e-09,1.6982415473876245e-10,0.0,0.0,1.8057315120011297e-07,4.8823772651602885e-05,4.8823772651602885e-05,
barrel_roll,lipa-gpu,70,3253.857029019855,22312.57398538091,0.00015205607033230706,9.120876717572872e-07,1,1.7582465648542547e-07,0.00015205607033230706,0.0,9.120876717572872e-07,0.0,0.08935887473815216,4.415575799341887,4.415575799341887,two-phase warm start
backflip,lipa-gpu,476,31688.968057977036,61952.82833468576,8.055022521255562e-05,2.021977294930366e-06,1,8.927820642364926e-10,8.055022521255562e-05,0.0,2.021977294930366e-06,0.0,0.08199293064051506,12701.847466991308,12701.847466991308,
jump,lipa-gpu,223,12963.582030963153,20915.61002100555,2.1981394419002143e-06,0.0007301408649653352,1,1.0923605082920148e-10,2.1981394419002143e-06,0.0,0.0007301408649653352,0.0,0.004945322024282051,1214.236399447244,1214.236399447244,two-phase warm start
trot,lipa-gpu,29,1469.8124309070408,30907.86109985147,4.290072279644619e-05,7.999666437501203e-07,1,4.000667124997592e-07,4.290072279644619e-05,0.0,7.999666437501203e-07,0.0,0.7534218481362245,1.9444229049448156,1.9444229049448156,two-phase warm start
cartpole,lipa-cpu,82,91.5058710379526,66.80261969456132,1.3322676295501878e-15,0.0,1,5.651888766581038e-22,1.3322676295501878e-15,1.421979012662821e-22,0.0,0.0,4.306437262259506e-15,9.008682355649e-09,9.008682355649e-09,
acrobot,lipa-cpu,108,50.69905996788293,44.51328514225665,9.227196784422631e-11,0.0,1,2.2772173759505228e-11,9.227196784422631e-11,0.0,0.0,0.0,0.0,3.869057074723514e-09,3.869057074723514e-09,
quadpendulum,lipa-cpu,81,668.1704910006374,8.279485190095361,1.3294618916859235e-07,0.0,1,9.418159363505652e-09,1.3294618916859235e-07,1.356571060578395e-09,0.0,0.0,1.2424512719435025e-07,4.0595480939958906e-05,4.0595480939958906e-05,
quadpendulum_theta,lipa-cpu,143,1357.6125990366563,7.268974682049163,6.8949042031363206e-09,0.0,1,1.7644508076841703e-10,6.8949042031363206e-09,1.6982415473876245e-10,0.0,0.0,1.805731513214539e-07,4.882378774891528e-05,4.882378774891528e-05,
cartpole,ipopt-casadi,33,58.21934400591999,66.80261979248728,2.5085089561116547e-10,0.0,1,3.407111586791563e-34,2.5085089561116547e-10,3.740725102261506e-37,0.0,0.0,9.818302000976209e-08,9.152253288569057e-09,9.818302000976209e-08,Solve_Succeeded
acrobot,ipopt-casadi,21,33.5125740384683,44.51328754813761,5.481526748063459e-07,0.0,1,6.310887241768095e-30,5.481526748063459e-07,0.0,0.0,0.0,0.0,5.344919056515796e-07,5.481526748063459e-07,Solve_Succeeded
quadpendulum,ipopt-casadi,65,4000.395470065996,8.279483275389,3.4807712268047908e-12,9.995032579368512e-09,1,4.95300422650037e-31,3.4807712268047908e-12,1.3678120454416398e-32,9.995032579368512e-09,0.0,1.9673517016952e-08,2.212548547153581e-11,1.9673517016952e-08,Solve_Succeeded
quadpendulum_theta,ipopt-casadi,103,6768.926110002212,6.907268443393438,1.6808563430004142e-09,0.0,1,4.5807892852494415e-26,1.6808563430004142e-09,2.3064579273176174e-31,0.0,0.0,1.0410943210170722e-07,1.0612872248724758e-07,1.0612872248724758e-07,Solve_Succeeded
cartpole,ipopt-jax,46,5638.477404019795,66.80261979349673,3.398614722982529e-11,0.0,1,1.8824410123407004e-30,3.398614722982529e-11,2.8547420234451064e-35,0.0,1.2735982036586222,35.92038017502638,6.677709130442915,35.92038017502638,Solve_Succeeded
acrobot,ipopt-jax,21,1924.473691964522,44.51328754817587,5.481649689720314e-07,0.0,1,2.8398992587956425e-29,5.481649689720314e-07,0.0,0.0,,,5.345057393357777e-07,5.481649689720314e-07,Solve_Succeeded
quadpendulum,ipopt-jax,163,95391.39247103594,11.752408907197562,2.0730619887388002e-08,0.0,1,5.864879872338652e-24,2.0730619887388002e-08,1.646484400297539e-27,0.0,0.24250779507505632,14.920670921033638,9.368310620608021,14.920670921033638,Solve_Succeeded
quadpendulum_theta,ipopt-jax,82,51383.28382698819,14.811454032593844,2.6223886617771086e-07,8.240578065407678e-09,1,2.773397269078106e-28,2.6223886617771086e-07,4.445357670891281e-31,8.240578065407678e-09,0.16902459434620662,240.3531743853823,173.67223461697483,240.3531743853823,Solve_Succeeded
barrel_roll,ipopt-jax,388,1201628.430710989,26360.15248425972,3.157624693925527,8.019467843071714e-07,0,3.9635287187528447e-07,3.157624693925527,0.0,8.019467843071714e-07,1.3812184244200962,99.17028284071148,110.5259378210555,110.5259378210555,Maximum_WallTime_Exceeded
backflip,ipopt-jax,211,1202465.1783739682,1626476.6009451658,1.7049274212362024,0.9594021018902864,0,0.4758960382770232,1.7049274212362024,0.0,0.9594021018902864,2563.2002042613276,6532.134747370413,1525173.9066828506,1525173.9066828506,Maximum_WallTime_Exceeded
